"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18581","1-D2C Ticket Creation","","Mon Oct 06 13:04:37 IST 2025","passed","Mon Oct 06 13:04:56 IST 2025","","usecase2.spec.js","",""
"","15646","10-Assign Packaging request to Executive","","Mon Oct 06 13:07:57 IST 2025","passed","Mon Oct 06 13:08:13 IST 2025","","usecase2.spec.js","",""
"","19883","11-Complete packaging request","","Mon Oct 06 13:08:13 IST 2025","passed","Mon Oct 06 13:08:33 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","19512","Logistics Details Update By Logistics Manager","","Fri Oct 03 11:45:18 IST 2025","passed","Fri Oct 03 11:45:37 IST 2025","","usecase1.spec.js","",""
"","12865","Dispatch process","","Fri Oct 03 11:47:24 IST 2025","passed","Fri Oct 03 11:47:37 IST 2025","","usecase1.spec.js","",""
"","958","Verify PRD Data","","Fri Oct 03 12:44:27 IST 2025","passed","Fri Oct 03 12:44:28 IST 2025","","usecase2.spec.js","",""
"","17697","12-Update Dispatch Details","","Mon Oct 06 13:08:40 IST 2025","passed","Mon Oct 06 13:08:58 IST 2025","","usecase2.spec.js","",""
"","5306","should login successfully with valid credentials","","Mon Oct 06 11:29:23 IST 2025","failed","Mon Oct 06 11:29:28 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","1","Assign Packaging request","","Thu Oct 02 18:19:07 IST 2025","skipped","Thu Oct 02 18:19:07 IST 2025","","bclinward.spec.js","",""
"","0","pending information tab","","Tue Sep 30 17:01:16 IST 2025","skipped","Tue Sep 30 17:01:16 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","13284","Assign Packaging request","","Fri Oct 03 11:48:14 IST 2025","passed","Fri Oct 03 11:48:28 IST 2025","","usecase1.spec.js","",""
"","38639","7-Complete putaway process/ Update sublocation","","Mon Oct 06 13:06:27 IST 2025","passed","Mon Oct 06 13:07:06 IST 2025","","usecase2.spec.js","",""
"","31772","Service Technician Inspection","","Fri Oct 03 11:44:28 IST 2025","passed","Fri Oct 03 11:44:59 IST 2025","","usecase1.spec.js","",""
"","13968","10-Assign Packaging request to Executive","","Mon Oct 06 10:49:20 IST 2025","passed","Mon Oct 06 10:49:34 IST 2025","","usecase1.spec.js","",""
"","1125","Verify PRD Data","","Thu Oct 02 18:16:41 IST 2025","passed","Thu Oct 02 18:16:42 IST 2025","","bclinward.spec.js","",""
"","61442","Verify BrandcallLogModule","","Tue Sep 30 17:07:46 IST 2025","broken","Tue Sep 30 17:08:47 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","17205","pending dispatch","","Fri Oct 03 11:48:54 IST 2025","passed","Fri Oct 03 11:49:11 IST 2025","","usecase1.spec.js","",""
"","45414","should login successfully with valid credentials","","Fri Oct 03 11:45:52 IST 2025","passed","Fri Oct 03 11:46:37 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","20200","Assign Packaging request","","Thu Oct 02 13:39:16 IST 2025","passed","Thu Oct 02 13:39:37 IST 2025","","dispatchflow.spec.js","",""
"","62097","pending dispatch","","Thu Oct 02 17:12:01 IST 2025","broken","Thu Oct 02 17:13:03 IST 2025","","dispatchflow.spec.js","",""
"","11","should login successfully with valid credentials","","Thu Oct 02 13:03:05 IST 2025","failed","Thu Oct 02 13:03:05 IST 2025","","dispatchflow.spec.js","",""
"","20010","4-Logistics Details Update By Logistics Manager","","Mon Oct 06 13:04:56 IST 2025","passed","Mon Oct 06 13:05:16 IST 2025","","usecase2.spec.js","",""
"","30419","9-Complete pickup request","","Mon Oct 06 13:07:19 IST 2025","passed","Mon Oct 06 13:07:50 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","19454","should login successfully with valid credentials2","","Fri Oct 03 11:48:28 IST 2025","passed","Fri Oct 03 11:48:47 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","14973","8-Assign pickup request to Executive","","Mon Oct 06 10:48:25 IST 2025","passed","Mon Oct 06 10:48:40 IST 2025","","usecase1.spec.js","",""
"","12875","8-Assign pickup request to Executive","","Mon Oct 06 13:07:06 IST 2025","passed","Mon Oct 06 13:07:19 IST 2025","","usecase2.spec.js","",""
"","16976","5-Upload PRD File","","Mon Oct 06 10:46:37 IST 2025","passed","Mon Oct 06 10:46:54 IST 2025","","usecase1.spec.js","",""
"","38630","Complete putaway process/ Update sublocation","","Fri Oct 03 11:46:45 IST 2025","passed","Fri Oct 03 11:47:24 IST 2025","","usecase1.spec.js","",""
"","47817","6-Inward the item to Brandcall-Log Disposition","","Mon Oct 06 13:05:30 IST 2025","passed","Mon Oct 06 13:06:18 IST 2025","Mobile App Login Test","usecase2.spec.js","",""
"","17072","Upload PRD File","","Thu Oct 02 18:16:42 IST 2025","passed","Thu Oct 02 18:16:59 IST 2025","","bclinward.spec.js","",""
